id,author,title,author_gender,publication_year,publisher,text_word_count
A074,"Howells, William Dean",Indian Summer,Male,1885,Ticknor & Co,95972
A075,"Howells, William Dean",The Son of Royal Langbrith,Male,1904,Harper & Brothers,93403
A076,"Howells, William Dean",A Traveler from Altruria,Male,1894,Harper & Brothers,65442
A077,"Howells, William Dean",The Landlord at Lion's Head,Male,1897,David Douglas,115838
A078,"Hurtson, Zora Neal",Their Eyes Were Watching God,Female,1937,J. B. Lippincott,60432
A079,"James, Henry ",The Portrait of a Lady,Male,1881,"Houghton, Mifflin, and Company",223813
A080,"James, Henry ",Roderick Hudson,Male,1879,Macmillan and Co.,130842
A081,"James, Henry ",The Princess Casamassima,Male,1886,Macmillan and Co.,207777
A082,"James, Henry ",The Wings of the Dove,Male,1902,Archibald Constable & Co,187712
A083,"James, Henry ",The Ambassadors,Male,1903,Harper & Brothers,157202
A084,"James, Henry ",The Golden Bowl,Male,1904,Scribner,203923
A085,"James, Henry ",The Turn of the Screw,Male,1898,The Macmillan Company,42258
A086,"James, Henry ",The Beast in the Jungle,Male,1903,Methuen,18548
A087,"James, Henry ",In the Cage,Male,1898,Duckworth,34813
A088,"James, Henry ",Daisy Miller,Male,1879,Harper & Brothers,21291
A089,"James, Henry ",The Aspern Papers,Male,1888,Macmillan and Co.,38810
A090,"James, Henry ",The American ,Male,1877,James R. Osgood and Company,133818
A091,"James, Henry ",Washington Square,Male,1880,Harper & Brothers,63721
A092,"James, Henry ",The Bostonians,Male,1886,Macmillan and Co.,161700
A093,"Joyce, James",Dubliners,Male,1914,Grant Richards Ltd,67469
A094,"Joyce, James",Ulysses,Male,1922,Shakespeare and Company,263678
A095,"Joyce, James",A Portrait of the Artist as a Young Man,,1916,B. W. Huebsch,17751
A096,"Joyce, James",Stephen Hero,Male,1944,Jonathan Cape,285247
A097,"Kipling, Rudyard",The Light that Failed,Male,1891, Lippincott's Monthly Magazine,70852
A098,"Lawrence, D.H.",The Rainbow,Male,1915,Methuen & Co,185889
A099,"Lawrence, D.H.",Women in Love,Male,1920,Thomas Seltzer,180221
A100,"Lawrence, D.H.",Sons and Lovers,Male,1913,Gerald Duckworth and Company Ltd,160304
A101,"Lawrence, D.H.",Lady Chatterley's Lover,Male,1928,Tipografia Giuntina,117376
A102,"Lewis, Wyndham",Tarr,Male,1908,Egoist Press,100649
A103,"Lewis, Wyndham",Self Condemned,Male,1954,Methuen & Co Ltd,144731
A104,"Louis Stevenson, Robert",Weir of Hermiston,Male,1896,N/A,42784
A105,"Louis Stevenson, Robert",The Ebb-Tide,Male,1894,N/A,46852
A106,"Mansfield, Katherine",The Garden Party and Other Storeis ,Female,N/A,N/A,57048
A107,"Maurier, George du",Trilby,Male,1894,Harper & Brothers,100518
A108,"Maurier, George du",English Society,Male,1897,"Osgood, McIlvaine & Co",4668
A109,"Maurier, George du",Peter Ibbetson,Male,1892,Harper & Brothers,87731
A110,"Maurier, George du",The Martian,Male,1898,Harper & Brothers Publishers,118413
A111,"Moore, George",The Untilled Field,Male,1914,W. Heinemann,98865
A112,"Moore, George",The Brook Kerith,Male,1916,The Macmillan Co.,171042
A113,"Moore, George",Hail and Farewell,Male,1911,Colin Smythe Ltd,105877
A114,"Pater, Walter",Imaginary Portraits,Male,1887,N/A,32538
A115,"Pater, Walter",Marius the Epicurean,Male,1885,N/A,106571
A116,"Pater, Walter",Gaston de Latour,Male,1896,"Macmillan & Co., Ltd",37563
A117,"Richardson, Dorothy",Pilgrimage,Female,1915,Duckworth & Co.,55992
A118,"Richardson, Dorothy",Backwater,Female,1916,Duckworth & Co.,54153
A119,"Richardson, Dorothy",Dimple Hill,Female,1938,JM Dent and Cresset Press,52022
A120,"Richardson, Dorothy","The Quakers, Past and Present",Female,1914,Constable,15100
A121,"Richardson, Dorothy",Revolving Lights,Female,N/A,Duckworth & Co.,58664
A122,"Richardson, Dorothy",Trap,Female,N/A,not_available,37730
A123,"Sackville-West, Vita",The Edwardians,Female,1930,Hogarth,87661
A124,"Sackville-West, Vita",All Passion Spent,Female,1931,Hogarth,55664
A125,"Sackville-West, Vita",Grey Wethers: a romantic novel,Female,1923,William Heinemann Ltd,80832
A126,"Sackville-West, Vita",Seducers in Ecuador,Female,1924,Hogarth Press,23013
A127,"Sackville-West, Vita",Challenge,Female,1920,George H. Doran Company,85116
A128,"Sinclair, May",Life and Death of Harriett Frean,Female,1922,Macmillan,21376
A129,"Sinclair, May",The Three BrontÃ«s,Female,1912,Hutchinson & Co.,65788
A130,"Sinclair, May",The Three Sisters,Female,1914,Hutchinson & Co.,95635
A131,"Sinclair, May",The Tree of Heaven,Female,1917,Cassell & Co.,103150
A132,"Sinclair, May",Mary Olivier: a Life,Female,1919,Cassell & Co.,118586
A133,"Sinclair, May",The Romantic,Female,1919,Collins,44897
A134,"Sinclair, May",Mr. Waddington of Wyck,Female,1921,Cassell & Co.,61350
A135,"Sinclair, May",The Return of the Prodigal,Female,1914,Macmillan & Co.,97083
A136,"Sinclair, May",The Helpmate,Female,1907,Constable & Co.,114220
A137,"Sinclair, May",The Divine Fire,Female,1901,Constable & Co.,227378
A138,"Sinclair, May",The Tysons (Mr. and Mrs. Nevill Tyson),Female,1898,William Blackwood & Sons,48772
A139,"Sinclair, May",Superseded,Female,1906,Henry Holt & Co.,27697
A140,"Sinclair, May",Anne Severn and the Fieldings,Female,1922,Hutchinson & Co.,78670
A141,"Sinclair, May",The Judgment of Eve,Female,1907,Harper & Brothers,15283
A142,"Sinclair, May",The Belfry,Female,1916,Macmillan & Co.,99444
A143,"Sinclair, May",The Combined Maze,Female,1913,Hutchinson & Co.,100958
A144,"Sinclair, May",The Creators,Female,1910,Constable & Co.,154013
A145,"Sinclair, May",The Immortal Moment,Female,1908,"Doubleday, Page & Co.",45956
A146,"Sinclair, May",Audrey Craven,Female,1897,William Blackwood & Sons,75674
A147,"Sinclair, May",The Flaw in the Crystal,Female,1912,E. P. Dutton & Co.,22341
A148,"Stein, Gertrude",Ida,Female,1941,Random House,34467
A149,"Stein, Gertrude",Three Lives,Female,1909,The Grafton Press,86017
A150,"von Arnim, Elizabeth",Mr Skeffington,Female,1940,"Doubleday, Doran & Co.",92586
A151,"von Arnim, Elizabeth",The Enchanted April,Female,1922,"Macmillan & Co., Ltd",78035
A152,"von Arnim, Elizabeth",Father,Female,1931,"Macmillan & Co., Ltd",111190
A153,"von Arnim, Elizabeth",The Solitary Summer,Female,N/A,Macmillan & Co.,38761
A154,"von Arnim, Elizabeth",The Caravaners,Female,1909,"Smith, Elder & Co.",87306
A155,"von Arnim, Elizabeth",Love,Female,1925,"Macmillan & Co., Ltd",106194
A156,"West, Nathanael",The Day of the Locust,Male,1939,Random House,48797
A157,"West, Nathanael",Miss Lonelyhearts,Male,1933,Liveright,23366
A158,"Wharton, Edith",The Age of Innocence,Female,1920,D. Appleton & Company,101285
A159,"Wharton, Edith",Ethan Frome,Female,1911,Scribner's,34843
A160,"Wharton, Edith",The Custom of the Country,Female,1913,Charles Scribner?™s Sons,139728
A161,"Wharton, Edith",Twilight Sleep,Female,1927,D. Appleton & Company,82644
A162,"Wharton, Edith",The Mother?™s Recompense,Female,1925,D. Appleton & Co.,75782
A163,"Wharton, Edith",The House of Mirth,Female,1905,Charles Scribner's Sons,131491
A164,"Wharton, Edith",The Fruit of the Tree,Female,1907,Charles Scribner's Sons,141532
A165,"Wharton, Edith",The Glimpses of the Moon,Female,1922,D. Appleton and Company,81988
A166,"Wharton, Edith",Summer,Female,1916,Oxford University Press,57235
A167,"Wharton, Edith",A Son at the Front,Female,1923,Northern Illinois University Press,97077
A168,"Wharton, Edith",The Touchstone,Female,1900,Charles Scribner's Sons,26817
A169,"Wharton, Edith",The Reef,Female,1912,D. Appleton & Company,96198
A170,"Wharton, Edith",Bunner Sisters,Female,1916,Charles Scribner's Sons,30556
A171,"Wharton, Edith",The Children,Female,1928,Appleton and Company,95581
A172,"Wharton, Edith",The Marne,Female,1918,D. Appleton and Company,18340
A173,"Wharton, Edith",False Dawn,Female,1924,D. Appleton,18460
A174,"Wharton, Edith",Hudson River Bracketed,Female,1929,D. Appleton and Company,170502
A175,"Wharton, Edith",The Old Maid,Female,1929,D. Appleton and Company,23677
A176,"Wharton, Edith",Madame de Treymes,Female,1907,Scribner,19026
A177,"Wilde, Oscar",The Picture of Dorian Gray,Male,1890,Lippincott?™s Monthly Magazine,79023
A178,"Wilde, Oscar",Lord Arthur Savile's Crime,Male,1891,not_available,12529
A179,"Wilde, Oscar",The Selfish Giant,Male,1888,David Nutt,1653
A180,"Wilde, Oscar",A House of Pomegranates,Male,1888,"James R. Osgood, McIlvaine & Co.",33050
A181,"Wolfe, Thomas","Look Homeward, Angel",Male,1929,Charles Scribner's Sons,201786
A182,"Wolfe, Thomas",You Can't Go Home Again,Male,1940,Harper & Row,255639
A183,"Wolfe, Thomas",Of Time and The River,Male,1935,Charles Scribner's Sons,397785
A184,"Wolfe, Thomas",The Web and the Rock,Male,1939,Harper & Sons,285278
A185,"Wolfe, Thomas",The Lost Boy,Male,1965,Harper & Row,18648
A186,"Woolf, Virginia",The Voyage Out,Female,1915,Duckworth,136014
A187,"Woolf, Virginia",Night and Day,Female,1919,Duckworth,166124
A188,"Woolf, Virginia",Monday or Tuesday,Female,1921,Hograth Press,4616
A189,"Woolf, Virginia",Jacob's Room,Female,1922,Hogarth Press,54521
A190,"Woolf, Virginia",Mrs. Dalloway,Female,1925,Hogarth Press,63401
A191,"Woolf, Virginia",To the Lighthouse,Female,1927,Hogarth Press,69342
A192,"Woolf, Virginia",Orlando,Female,1928,Hogarth Press,78555
A193,"Woolf, Virginia",The Waves,Female,1931,Hogarth Press,77032
A194,"Woolf, Virginia",Flush,Female,1933,Hogarth Press,31749
A195,"Woolf, Virginia",The Years,Female,1937,Hogarth Press,128841
A196,"Woolf, Virginia",Between the Acts,Female,1941,Hogarth Press,46253
A197,"Woolf, Virginia",The Kew Gardens,Female,1919,Hogarth Press,2608
A198,"Woolf, Virginia",The Mark on the Wall,Female,1917,Hogarth Press,3089
A199,"Yeats, W. B.",Stories of Red Hanrahan,Male,1914,The MacMillan Company,15755
A200,"Yeats, W. B.",Out Of The Rose,Male,1914,The MacMillan Company,2495
A201,"Yeats, W. B.",Rosa Alchemica,Male,1914,The MacMillan Company,9824
A202,"Yeats, W. B.","Of Costello The Proud, Of Oona The Daughter Of Dermott, And Of The Bitter Tongue",Male,1896,The Pageant,8651
